102004	1055
102005	1061
102006	1626
102007	2205
102008	2467
102009	1735
102010	1165
102011	1174
102012	1469
102013	1000
102014	459
102015	929
102016	570
102018	1135
102019	906
102020	798
102022	716
102028	1261
102030	1099
102031	1041
102037	1927
102040	3019
102041	1716
102043	2458
102044	1395
102045	3855
102046	1862
102047	1571
102048	2262
102049	1451
102050	4978
102051	718
102052	1812
102053	1031
102054	918
102055	522
102056	1383
102057	1551
102058	1579
102059	1229
102060	918
102061	847
102062	3071
102063	1151
102064	2136
102065	2184
102066	2081
102067	1209
102068	1486
102069	1661
102070	1460
102071	936
102072	873
102073	1096
102074	867
102075	1157
102100	1060
102101	1069
102102	1395
102103	1473
102104	1120
102105	1098
102106	1610
102107	1216
102108	1271
102109	1067
102110	1059
102111	1172
102112	1292
102113	1117
102114	1176
102115	1524
102116	1807
102117	1539
102118	1768
102119	1148
102120	1526
102121	1025
102122	1057
102123	1333
102124	1027
102125	1153
102126	1183
102127	1034
102128	1066
102129	1194
102150	967
102151	1094
102152	1139
102153	1271
102154	879
102155	940
102156	1742
102157	1990
102158	2166
102159	1940
102160	2181
102161	1799
102162	1957
102163	1917
102164	1860
102165	857
102166	1977
102167	1870
102168	1039
102169	1277
102170	1159
102171	1166
102180	1130
102181	832
102182	1159
102183	1010
102184	983
102185	886
102186	909
102187	829
102188	1116
102189	928
102190	1334
102191	1257
102200	445
102201	537
102202	983
102203	892
102204	674
102205	472
102206	1007
102207	524
102208	820
102213	679
